# Datapath audit vs hardware/fpga/tomato (Artix-7).
# Authority: docs/isa/tomato.v1.csv (status=burn). This file is a checklist — edit v1 first.
mnemonic,rom_addr,group,seq_cycles,status,datapath,hw_unit,datapath_note,locked
NOP,0x00,system,1,burn,yes,alu,dual-LUT ALU,yes
ADD,0x01,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
SUB,0x02,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
AND,0x03,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
OR,0x04,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
XOR,0x05,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
MOV,0x06,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
CMP,0x07,alu-reg,1,burn,yes,alu,dual-LUT ALU,yes
MOVA,0x08,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
NOT,0x09,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
NEG,0x0A,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
INC,0x0B,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
NAND,0x0C,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
NOR,0x0D,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
XNOR,0x0E,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
DEC,0x0F,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
MUL,0x10,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
MULH,0x11,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
DIV,0x12,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
REM,0x13,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
MULHU,0x14,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
DIVU,0x15,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
REMU,0x16,muldiv,1,burn,yes,muldiv,combinational muldiv.v (signed; unsigned when mode[0]),yes
ADC,0x17,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
SBC,0x18,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
RSB,0x19,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
ANDN,0x1A,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
ORN,0x1B,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
MVN,0x1C,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
TST,0x1D,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
TEQ,0x1E,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
CMN,0x1F,alu-reg,1,growth,partial,alu,dual-LUT ALU,no
ADDI,0x20,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
ANDI,0x21,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
ORI,0x22,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
XORI,0x23,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
LUI,0x24,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
CMPI,0x25,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
LSLI,0x26,alu-imm,1,growth,partial,shift,barrel shift.v; growth — not burned,no
LSRI,0x27,alu-imm,1,growth,partial,shift,barrel shift.v; growth — not burned,no
ASRI,0x28,alu-imm,1,growth,partial,shift,barrel shift.v; growth — not burned,no
RORI,0x29,alu-imm,1,burn,yes,shift,barrel shift.v,yes
ADDI16,0x2A,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
SUBI,0x2B,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
CMPI16,0x2C,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
MOVI,0x2D,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
MOVIL,0x2E,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
SEXTI,0x2F,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
ZERO,0x30,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
ONE,0x31,alu-imm,1,burn,yes,alu,dual-LUT ALU,yes
ALLONES,0x32,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
ANDNI,0x33,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
ORNI,0x34,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
NANDI,0x35,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
NORI,0x36,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
XNORI,0x37,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
ADCI,0x38,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
SBCI,0x39,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
INCI,0x3A,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
DECI,0x3B,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
NOTI,0x3C,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
NEGI,0x3D,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
MOVAI,0x3E,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
TSTI,0x3F,alu-imm,1,growth,partial,alu,dual-LUT ALU,no
LSL,0x40,shift,1,burn,yes,shift,barrel shift.v,yes
LSR,0x41,shift,1,burn,yes,shift,barrel shift.v,yes
ASR,0x42,shift,1,burn,yes,shift,barrel shift.v,yes
ROR,0x43,shift,1,burn,yes,shift,barrel shift.v,yes
ROL,0x44,shift,1,growth,compose,shift,shift.mode is LSL/LSR/ASR/ROR; ROL = ROR(32-n),no
LSLR,0x45,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
LSRR,0x46,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
ASRR,0x47,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
RORR,0x48,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
SHLI,0x49,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
SHRI,0x4A,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
SARI,0x4B,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
RORI8,0x4C,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
SH4D,0x4D,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
SH4E,0x4E,shift,1,growth,partial,shift,barrel shift.v; growth — not burned,no
