# Tomato32 ROM opcode table — one row per rom_addr (1024x64 microcode). Hardware authority; ISA personalities live under profiles/.
rom_addr,rom_region,mnemonic,group,encoding,semantic_op,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,primitive_id,hardware_tier,notes,status
0x000,native,NOP,system,reg_reg,NOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,No operation,
0x001,native,ADD,alu-rr,reg_reg,ADD,0,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_017,native,rd=rA+rB,
0x002,native,SUB,alu-rr,reg_reg,SUB,0,150,13,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_021,native,rd=rA-rB,
0x003,native,AND,alu-rr,reg_reg,AND,0,136,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA&rB,
0x004,native,OR,alu-rr,reg_reg,OR,0,238,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA|rB,
0x005,native,XOR,alu-rr,reg_reg,XOR,0,102,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA^rB,
0x006,native,NOT,alu-rr,reg_reg,NOT,0,51,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=~rA,
0x007,native,NEG,alu-rr,reg_reg,NEG,0,150,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_019,native,rd=-rA,
0x008,native,ADC,alu-rr,reg_reg,ADC,0,150,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_001,native,rd=rA+rB+C,
0x009,native,SBC,alu-rr,reg_reg,SBC,0,105,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA-rB-borrow,
0x00a,native,ANDN,alu-rr,reg_reg,ANDN,0,192,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA&~rB,
0x00b,native,ORN,alu-rr,reg_reg,ORN,0,238,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA|~rB,
0x00c,native,INC,alu-rr,reg_reg,INC,0,150,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_001,native,rd=rA+1,
0x00d,native,DEC,alu-rr,reg_reg,DEC,0,150,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_030,native,rd=rA-1,
0x00e,native,MOV,alu-rr,reg_reg,MOV,0,204,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rB,
0x00f,native,CMP,alu-rr,reg_reg,CMP,0,105,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,flags=rA-rB;no wb,
0x010,native,ADDI,alu-imm,off12s,ADDI,3,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_017,native,rd=rA+imm12s IR[21:10],
0x011,native,SUBI,alu-imm,off12s,SUBI,3,105,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA-imm12s IR[21:10],
0x012,native,ANDI,alu-imm,imm16z,ANDI,7,136,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA&imm16z,
0x013,native,ORI,alu-imm,imm16z,ORI,7,238,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA|imm16z,
0x014,native,XORI,alu-imm,imm16z,XORI,7,102,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=rA^imm16z,
0x015,native,ADDI16,alu-imm,imm16s,ADDI16,8,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_017,native,rd=rA+imm16s,
0x016,native,ADDI8,alu-imm,imm8s,ADDI8,2,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,ALU_017,native,rd=rA+imm8s (compact),
0x017,native,TST,alu-imm,imm16z,TST,7,136,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,flags=rA&imm;no wb,
0x018,native,CMPI,alu-imm,off12s,CMPI,3,105,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,flags=rA-imm12s;no wb,
0x019,native,LUI,alu-imm,lui20,LUI,11,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,sequence,rd=imm20<<12,
0x01a,native,AUIPC,alu-imm,lui20,AUIPC,11,150,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,96,ALU_017,sequence,rd=PC+(imm20<<12),
0x01b,native,MOVT,alu-imm,lui16,MOVT,10,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd[31:16]=imm16 (upper half),
0x01c,native,MOVI8,alu-imm,imm8s,MOVI8,2,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=imm8s,
0x01d,native,MOVI16,alu-imm,imm16s,MOVI16,8,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=imm16s,
0x01e,native,SLT,alu-rr,reg_reg,SLT,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=(rA<rB)?1:0 signed,
0x01f,native,SLTU,alu-rr,reg_reg,SLTU,0,105,7,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,native,rd=(rA<u rB)?1:0,
0x020,native,LSL,shift,reg_reg,LSL,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,SHF_LSL,native,rd=rA<<rB[4:0],
0x021,native,LSR,shift,reg_reg,LSR,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,SHF_LSR,native,rd=rA>>rB[4:0] logical,
0x022,native,ASR,shift,reg_reg,ASR,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,SHF_ASR,native,rd=rA>>rB[4:0] arith,
0x023,native,ROR,shift,reg_reg,ROR,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,SHF_ROR,native,rd=ROR(rA,
