# Tomato32 ISA profile: Alpha — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
addl,Alpha,ADD,0x001,reg_reg,0,primitive_ok,unknown,
subl,Alpha,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,Alpha,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,Alpha,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,Alpha,XOR,0x005,reg_reg,0,primitive_ok,unknown,
bic,Alpha,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
ornot,Alpha,ORN,0x00B,reg_reg,0,primitive_ok,unknown,
xornot,Alpha,EON,0x0BB,reg_reg,0,primitive_ok,unknown,
cmpeq,Alpha,SEQ,0x0C0,reg_reg,0,primitive_ok,unknown,
cmplt,Alpha,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
cmple,Alpha,SGE,0x0C3,reg_reg,0,primitive_ok,unknown,
cmpult,Alpha,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
cmpule,Alpha,BGEU,0x055,reg_reg,0,primitive_ok,unknown,
mov,Alpha,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
sextl,Alpha,LB,0x033,reg_reg,0,primitive_ok,unknown,
sextw,Alpha,LH,0x031,reg_reg,0,primitive_ok,unknown,
zapnot,Alpha,AND,0x003,reg_reg,0,primitive_ok,unknown,
sll,Alpha,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srl,Alpha,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sra,Alpha,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ldl,Alpha,LW,0x030,reg_reg,0,primitive_ok,unknown,
ldq,Alpha,LW,0x030,reg_reg,0,primitive_ok,unknown,
stl,Alpha,SW,0x040,reg_reg,0,primitive_ok,unknown,
stq,Alpha,SW,0x040,reg_reg,0,primitive_ok,unknown,
ldbu,Alpha,LBU,0x034,reg_reg,0,primitive_ok,unknown,
ldwu,Alpha,LHU,0x032,reg_reg,0,primitive_ok,unknown,
br,Alpha,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bsr,Alpha,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,Alpha,RET,0x064,reg_reg,0,primitive_ok,unknown,
beq,Alpha,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,Alpha,BNE,0x051,reg_reg,0,primitive_ok,unknown,
blt,Alpha,BLT,0x052,reg_reg,0,primitive_ok,unknown,
ble,Alpha,BLEZ,0x056,reg_reg,0,primitive_ok,unknown,
bgt,Alpha,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
bge,Alpha,BGE,0x053,reg_reg,0,primitive_ok,unknown,
cmovlt,Alpha,SELB,0x0B5,reg_reg,0,primitive_ok,unknown,
cmovge,Alpha,SELA,0x0B6,reg_reg,0,primitive_ok,unknown,
trapb,Alpha,FENCE,0x0D2,reg_reg,0,trap_emulate,unknown,
callsys,Alpha,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
