# Tomato32 ISA profile: ARC_V_RMX — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,ARC,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,ARC,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,ARC,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,ARC,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,ARC,XOR,0x005,reg_reg,0,primitive_ok,unknown,
bic,ARC,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
mov,ARC,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
cmp,ARC,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
mpy,ARC,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div,ARC,DIV,0x090,reg_reg,0,primitive_ok,unknown,
asl,ARC,LSL,0x020,reg_reg,0,primitive_ok,unknown,
lsr,ARC,LSR,0x021,reg_reg,0,primitive_ok,unknown,
asr,ARC,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ld,ARC,LW,0x030,reg_reg,0,primitive_ok,unknown,
st,ARC,SW,0x040,reg_reg,0,primitive_ok,unknown,
ldh,ARC,LH,0x031,reg_reg,0,primitive_ok,unknown,
ldb,ARC,LB,0x033,reg_reg,0,primitive_ok,unknown,
breq,ARC,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
brne,ARC,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bgt,ARC,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
blt,ARC,BLT,0x052,reg_reg,0,primitive_ok,unknown,
b,ARC,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bl,ARC,CALL,0x072,reg_reg,0,primitive_ok,unknown,
j,ARC,JMP,0x062,reg_reg,0,primitive_ok,unknown,
nop,ARC,NOP,0x000,reg_reg,0,primitive_ok,unknown,
