# Tomato32 ISA profile: AVR — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,AVR,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,AVR,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,AVR,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,AVR,OR,0x004,reg_reg,0,primitive_ok,unknown,
eor,AVR,XOR,0x005,reg_reg,0,primitive_ok,unknown,
com,AVR,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,AVR,NEG,0x007,reg_reg,0,primitive_ok,unknown,
inc,AVR,INC,0x00C,reg_reg,0,primitive_ok,unknown,
dec,AVR,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
mul,AVR,MUL,0x080,reg_reg,0,primitive_ok,unknown,
lsl,AVR,LSL,0x020,reg_reg,0,primitive_ok,unknown,
lsr,AVR,LSR,0x021,reg_reg,0,primitive_ok,unknown,
rol,AVR,ROL,,reg_reg,0,primitive_ok,n/a,
ror,AVR,ROR,0x023,reg_reg,0,primitive_ok,unknown,
asr,AVR,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ld,AVR,LB,0x033,reg_reg,0,primitive_ok,unknown,
st,AVR,SB,0x042,reg_reg,0,primitive_ok,unknown,
cp,AVR,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
cpi,AVR,CMPI,0x018,reg_reg,0,primitive_ok,unknown,
mov,AVR,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
ldi,AVR,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
push,AVR,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
pop,AVR,POP,0x071,reg_reg,0,primitive_ok,unknown,
rcall,AVR,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,AVR,RET,0x064,reg_reg,0,primitive_ok,unknown,
rjmp,AVR,JMP,0x062,reg_reg,0,primitive_ok,unknown,
brne,AVR,BNE,0x051,reg_reg,0,primitive_ok,unknown,
breq,AVR,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
brge,AVR,BGE,0x053,reg_reg,0,primitive_ok,unknown,
brlt,AVR,BLT,0x052,reg_reg,0,primitive_ok,unknown,
in,AVR,IN,0x0D0,reg_reg,0,primitive_ok,unknown,
out,AVR,OUT,0x0D1,reg_reg,0,primitive_ok,unknown,
sleep,AVR,WAIT,0x0D8,reg_reg,0,trap_emulate,unknown,
break,AVR,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
