# Tomato32 ISA profile: CHIP8 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,VM,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,VM,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,VM,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,VM,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,VM,XOR,0x005,reg_reg,0,primitive_ok,unknown,
shr,VM,LSR,0x021,reg_reg,0,primitive_ok,unknown,
shl,VM,LSL,0x020,reg_reg,0,primitive_ok,unknown,
rnd,VM,ADD,0x001,reg_reg,0,primitive_ok,unknown,
jp,VM,JMP,0x062,reg_reg,0,primitive_ok,unknown,
call,VM,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,VM,RET,0x064,reg_reg,0,primitive_ok,unknown,
ld,VM,LB,0x033,reg_reg,0,primitive_ok,unknown,
st,VM,SB,0x042,reg_reg,0,primitive_ok,unknown,
skp,VM,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
sknp,VM,BNE,0x051,reg_reg,0,primitive_ok,unknown,
cls,VM,NOP,0x000,reg_reg,0,primitive_ok,unknown,
draw,VM,XOR,0x005,reg_reg,0,primitive_ok,unknown,
ldm,VM,LW,0x030,reg_reg,0,primitive_ok,unknown,
stm,VM,SW,0x040,reg_reg,0,primitive_ok,unknown,
addi,VM,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
ldv,VM,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
chx,VM,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
sne,VM,SNE,0x0C1,reg_reg,0,primitive_ok,unknown,
se,VM,OR,0x004,reg_reg,0,primitive_ok,unknown,
bcd,VM,ADD,0x001,reg_reg,0,primitive_ok,unknown,
rdt,VM,IN,0x0D0,reg_reg,0,primitive_ok,unknown,
krd,VM,IN,0x0D0,reg_reg,0,primitive_ok,unknown,
snd,VM,OUT,0x0D1,reg_reg,0,primitive_ok,unknown,
tim,VM,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
nop,VM,NOP,0x000,reg_reg,0,primitive_ok,unknown,
