# Tomato32 ISA profile: ColdFire — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
move,CF,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
add,CF,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,CF,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,CF,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,CF,OR,0x004,reg_reg,0,primitive_ok,unknown,
eor,CF,XOR,0x005,reg_reg,0,primitive_ok,unknown,
not,CF,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,CF,NEG,0x007,reg_reg,0,primitive_ok,unknown,
clr,CF,CLR,0x0B7,reg_reg,0,primitive_ok,unknown,
cmp,CF,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
muls,CF,MUL,0x080,reg_reg,0,primitive_ok,unknown,
divs,CF,DIV,0x090,reg_reg,0,primitive_ok,unknown,
beq,CF,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,CF,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bra,CF,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bsr,CF,CALL,0x072,reg_reg,0,primitive_ok,unknown,
rts,CF,RET,0x064,reg_reg,0,primitive_ok,unknown,
link,CF,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
unlk,CF,POP,0x071,reg_reg,0,primitive_ok,unknown,
move.l,CF,LW,0x030,reg_reg,0,primitive_ok,unknown,
move.w,CF,LH,0x031,reg_reg,0,primitive_ok,unknown,
move.b,CF,LB,0x033,reg_reg,0,primitive_ok,unknown,
sb,CF,SB,0x042,reg_reg,0,primitive_ok,unknown,
sh,CF,SH,0x041,reg_reg,0,primitive_ok,unknown,
sw,CF,SW,0x040,reg_reg,0,primitive_ok,unknown,
ext,CF,LSL,0x020,reg_reg,0,primitive_ok,unknown,
trap,CF,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
nop,CF,NOP,0x000,reg_reg,0,primitive_ok,unknown,
stop,CF,HALT,0x3FF,reg_reg,0,primitive_ok,unknown,
