# Tomato32 ISA profile: Cortex_M3 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
mov,T16/A32,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
add,T16/A32,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,T16/A32,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,T16/A32,AND,0x003,reg_reg,0,primitive_ok,unknown,
orr,T16/A32,OR,0x004,reg_reg,0,primitive_ok,unknown,
eor,T16/A32,XOR,0x005,reg_reg,0,primitive_ok,unknown,
lsl,T16/A32,LSL,0x020,reg_shamt,0,primitive_ok,unknown,
lsr,T16/A32,LSR,0x021,reg_shamt,0,primitive_ok,unknown,
asr,T16/A32,ASR,0x022,reg_shamt,0,primitive_ok,unknown,
ldr,T16/A32,LW,0x030,off12_sign,3,primitive_ok,unknown,
str,T16/A32,SW,0x040,off12_sign,3,primitive_ok,unknown,
ldrb,T16/A32,LBU,0x034,off12_sign,3,primitive_ok,unknown,
ldrh,T16/A32,LHU,0x032,off12_sign,3,primitive_ok,unknown,
strb,T16/A32,SB,0x042,off12_sign,3,primitive_ok,unknown,
strh,T16/A32,SH,0x041,off12_sign,3,primitive_ok,unknown,
b,T16/A32,JMP,0x062,jmp26_x4,13,primitive_ok,unknown,
bl,T16/A32,CALL,0x072,imm24_sign,9,primitive_ok,unknown,
bx,T16/A32,JR,0x063,reg_reg,0,primitive_ok,unknown,
beq,T16/A32,BEQ,0x050,br18_x4,12,primitive_ok,unknown,
bne,T16/A32,BNE,0x051,br18_x4,12,primitive_ok,unknown,
bmi,T16/A32,BMI,,br18_x4,12,primitive_ok,n/a,
bpl,T16/A32,BPL,,br18_x4,12,primitive_ok,n/a,
bcs,T16/A32,BCS,,br18_x4,12,primitive_ok,n/a,
bcc,T16/A32,BCC,,br18_x4,12,primitive_ok,n/a,
bge,T16/A32,BGE,0x053,br18_x4,12,primitive_ok,unknown,
blt,T16/A32,BLT,0x052,br18_x4,12,primitive_ok,unknown,
push,T16/A32,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
pop,T16/A32,POP,0x071,reg_reg,0,primitive_ok,unknown,
cmp,T16/A32,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
mvn,T16/A32,MVN,0x0B4,reg_reg,0,primitive_ok,unknown,
mul,T16/A32,NOP,0x000,reg_reg,0,primitive_ok,unknown,unmap
sbc,T16/A32,NOP,0x000,reg_reg,0,primitive_ok,unknown,unmap
adc,T16/A32,NOP,0x000,reg_reg,0,primitive_ok,unknown,unmap
