# Tomato32 ISA profile: CP1600 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,CP1600,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,CP1600,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,CP1600,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,CP1600,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,CP1600,XOR,0x005,reg_reg,0,primitive_ok,unknown,
mvi,CP1600,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
mov,CP1600,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
incr,CP1600,INC,0x00C,reg_reg,0,primitive_ok,unknown,
decr,CP1600,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
com,CP1600,NOT,0x006,reg_reg,0,primitive_ok,unknown,
b,CP1600,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bc,CP1600,BCS,,reg_reg,0,primitive_ok,n/a,
bnc,CP1600,BCC,,reg_reg,0,primitive_ok,n/a,
beq,CP1600,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,CP1600,BNE,0x051,reg_reg,0,primitive_ok,unknown,
call,CP1600,CALL,0x072,reg_reg,0,primitive_ok,unknown,
return,CP1600,RET,0x064,reg_reg,0,primitive_ok,unknown,
nop,CP1600,NOP,0x000,reg_reg,0,primitive_ok,unknown,
