# Tomato32 ISA profile: DLX — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,DLX,ADD,0x001,reg_reg,0,primitive_ok,unknown,
addi,DLX,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
sub,DLX,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,DLX,AND,0x003,reg_reg,0,primitive_ok,unknown,
andi,DLX,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
or,DLX,OR,0x004,reg_reg,0,primitive_ok,unknown,
ori,DLX,ORI,0x013,reg_reg,0,primitive_ok,unknown,
xor,DLX,XOR,0x005,reg_reg,0,primitive_ok,unknown,
xori,DLX,XORI,0x014,reg_reg,0,primitive_ok,unknown,
sll,DLX,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srl,DLX,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sra,DLX,ASR,0x022,reg_reg,0,primitive_ok,unknown,
slt,DLX,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
sltu,DLX,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
lw,DLX,LW,0x030,reg_reg,0,primitive_ok,unknown,
lh,DLX,LH,0x031,reg_reg,0,primitive_ok,unknown,
lb,DLX,LB,0x033,reg_reg,0,primitive_ok,unknown,
lhu,DLX,LHU,0x032,reg_reg,0,primitive_ok,unknown,
lbu,DLX,LBU,0x034,reg_reg,0,primitive_ok,unknown,
sw,DLX,SW,0x040,reg_reg,0,primitive_ok,unknown,
sh,DLX,SH,0x041,reg_reg,0,primitive_ok,unknown,
sb,DLX,SB,0x042,reg_reg,0,primitive_ok,unknown,
beqz,DLX,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bnez,DLX,BNE,0x051,reg_reg,0,primitive_ok,unknown,
j,DLX,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jal,DLX,JAL,0x060,reg_reg,0,primitive_ok,unknown,
jr,DLX,JR,0x063,reg_reg,0,primitive_ok,unknown,
jalr,DLX,JALR,0x061,reg_reg,0,primitive_ok,unknown,
trap,DLX,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
nop,DLX,NOP,0x000,reg_reg,0,primitive_ok,unknown,
lui,DLX,LUI,0x019,reg_reg,0,primitive_ok,unknown,
seq,DLX,SEQ,0x0C0,reg_reg,0,primitive_ok,unknown,
sne,DLX,SNE,0x0C1,reg_reg,0,primitive_ok,unknown,
sgt,DLX,SGT,0x0C2,reg_reg,0,primitive_ok,unknown,
