# Tomato32 ISA profile: eBPF — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add32,eBPF,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub32,eBPF,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and32,eBPF,AND,0x003,reg_reg,0,primitive_ok,unknown,
or32,eBPF,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor32,eBPF,XOR,0x005,reg_reg,0,primitive_ok,unknown,
lsh32,eBPF,LSL,0x020,reg_reg,0,primitive_ok,unknown,
rsh32,eBPF,LSR,0x021,reg_reg,0,primitive_ok,unknown,
arsh32,eBPF,ASR,0x022,reg_reg,0,primitive_ok,unknown,
mul32,eBPF,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div32,eBPF,DIV,0x090,reg_reg,0,primitive_ok,unknown,
mod32,eBPF,REM,0x092,reg_reg,0,primitive_ok,unknown,
mov32,eBPF,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
neg32,eBPF,NEG,0x007,reg_reg,0,primitive_ok,unknown,
le,eBPF,REV,0x0A5,reg_reg,0,primitive_ok,unknown,
be,eBPF,REV,0x0A5,reg_reg,0,primitive_ok,unknown,
ja,eBPF,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jeq,eBPF,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
jne,eBPF,BNE,0x051,reg_reg,0,primitive_ok,unknown,
jgt,eBPF,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
jlt,eBPF,BLT,0x052,reg_reg,0,primitive_ok,unknown,
jge,eBPF,BGE,0x053,reg_reg,0,primitive_ok,unknown,
jle,eBPF,BLEZ,0x056,reg_reg,0,primitive_ok,unknown,
call,eBPF,CALL,0x072,reg_reg,0,primitive_ok,unknown,
exit,eBPF,HALT,0x3FF,reg_reg,0,primitive_ok,unknown,
