# Tomato32 ISA profile: H8_300 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,H8,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,H8,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,H8,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,H8,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,H8,XOR,0x005,reg_reg,0,primitive_ok,unknown,
not,H8,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,H8,NEG,0x007,reg_reg,0,primitive_ok,unknown,
cmp,H8,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
mov,H8,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
exts,H8,LB,0x033,reg_reg,0,primitive_ok,unknown,
extu,H8,LBU,0x034,reg_reg,0,primitive_ok,unknown,
shll,H8,LSL,0x020,reg_reg,0,primitive_ok,unknown,
shlr,H8,LSR,0x021,reg_reg,0,primitive_ok,unknown,
shal,H8,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ld,H8,LW,0x030,reg_reg,0,primitive_ok,unknown,
st,H8,SW,0x040,reg_reg,0,primitive_ok,unknown,
bra,H8,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bsr,H8,CALL,0x072,reg_reg,0,primitive_ok,unknown,
rts,H8,RET,0x064,reg_reg,0,primitive_ok,unknown,
beq,H8,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,H8,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bgt,H8,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
blt,H8,BLT,0x052,reg_reg,0,primitive_ok,unknown,
nop,H8,NOP,0x000,reg_reg,0,primitive_ok,unknown,
