# Tomato32 ISA profile: IA64 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,IA64,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,IA64,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,IA64,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,IA64,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,IA64,XOR,0x005,reg_reg,0,primitive_ok,unknown,
cmp,IA64,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
mov,IA64,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
ld,IA64,LW,0x030,reg_reg,0,primitive_ok,unknown,
st,IA64,SW,0x040,reg_reg,0,primitive_ok,unknown,
ld1,IA64,LB,0x033,reg_reg,0,primitive_ok,unknown,
st1,IA64,SB,0x042,reg_reg,0,primitive_ok,unknown,
ld2,IA64,LH,0x031,reg_reg,0,primitive_ok,unknown,
st2,IA64,SH,0x041,reg_reg,0,primitive_ok,unknown,
br,IA64,JMP,0x062,reg_reg,0,primitive_ok,unknown,
br.call,IA64,CALL,0x072,reg_reg,0,primitive_ok,unknown,
br.ret,IA64,RET,0x064,reg_reg,0,primitive_ok,unknown,
cmp.eq,IA64,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
cmp.ne,IA64,BNE,0x051,reg_reg,0,primitive_ok,unknown,
cmp.lt,IA64,BLT,0x052,reg_reg,0,primitive_ok,unknown,
cmp.ge,IA64,BGE,0x053,reg_reg,0,primitive_ok,unknown,
getf,IA64,CSRR,0x0A0,reg_reg,0,blocked_datapath,unknown,
movf,IA64,MOVF,,reg_reg,0,primitive_ok,n/a,
fc,IA64,CSET,0x0C6,reg_reg,0,primitive_ok,unknown,
sel,IA64,SELB,0x0B5,reg_reg,0,primitive_ok,unknown,
shl,IA64,LSL,0x020,reg_reg,0,primitive_ok,unknown,
shr,IA64,LSR,0x021,reg_reg,0,primitive_ok,unknown,
dep,IA64,OR,0x004,reg_reg,0,primitive_ok,unknown,
extr,IA64,AND,0x003,reg_reg,0,primitive_ok,unknown,
nop,IA64,NOP,0x000,reg_reg,0,primitive_ok,unknown,
break,IA64,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
