# Tomato32 ISA profile: LM32 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,LM32,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,LM32,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,LM32,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,LM32,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,LM32,XOR,0x005,reg_reg,0,primitive_ok,unknown,
nor,LM32,NOR,0x0B9,reg_reg,0,primitive_ok,unknown,
addi,LM32,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
andi,LM32,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
ori,LM32,ORI,0x013,reg_reg,0,primitive_ok,unknown,
xori,LM32,XORI,0x014,reg_reg,0,primitive_ok,unknown,
lw,LM32,LW,0x030,reg_reg,0,primitive_ok,unknown,
sw,LM32,SW,0x040,reg_reg,0,primitive_ok,unknown,
lh,LM32,LH,0x031,reg_reg,0,primitive_ok,unknown,
sh,LM32,SH,0x041,reg_reg,0,primitive_ok,unknown,
lb,LM32,LB,0x033,reg_reg,0,primitive_ok,unknown,
sb,LM32,SB,0x042,reg_reg,0,primitive_ok,unknown,
be,LM32,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,LM32,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bg,LM32,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
bge,LM32,BGE,0x053,reg_reg,0,primitive_ok,unknown,
bl,LM32,BLT,0x052,reg_reg,0,primitive_ok,unknown,
ble,LM32,BLEZ,0x056,reg_reg,0,primitive_ok,unknown,
j,LM32,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jal,LM32,JAL,0x060,reg_reg,0,primitive_ok,unknown,
jr,LM32,JR,0x063,reg_reg,0,primitive_ok,unknown,
jalr,LM32,JALR,0x061,reg_reg,0,primitive_ok,unknown,
mv,LM32,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
mvhi,LM32,LUI,0x019,reg_reg,0,primitive_ok,unknown,
mvi,LM32,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
mul,LM32,MUL,0x080,reg_reg,0,primitive_ok,unknown,
divu,LM32,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
calli,LM32,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,LM32,RET,0x064,reg_reg,0,primitive_ok,unknown,
eret,LM32,IRET,0x0D5,reg_reg,0,trap_emulate,unknown,
break,LM32,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
