# Tomato32 ISA profile: M6800 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
adda,6800,ADD,0x001,reg_reg,0,primitive_ok,unknown,
addb,6800,ADD,0x001,reg_reg,0,primitive_ok,unknown,
suba,6800,SUB,0x002,reg_reg,0,primitive_ok,unknown,
subb,6800,SUB,0x002,reg_reg,0,primitive_ok,unknown,
anda,6800,AND,0x003,reg_reg,0,primitive_ok,unknown,
andb,6800,AND,0x003,reg_reg,0,primitive_ok,unknown,
ora,6800,OR,0x004,reg_reg,0,primitive_ok,unknown,
orb,6800,OR,0x004,reg_reg,0,primitive_ok,unknown,
eora,6800,XOR,0x005,reg_reg,0,primitive_ok,unknown,
eorb,6800,XOR,0x005,reg_reg,0,primitive_ok,unknown,
coma,6800,NOT,0x006,reg_reg,0,primitive_ok,unknown,
comb,6800,NOT,0x006,reg_reg,0,primitive_ok,unknown,
inca,6800,INC,0x00C,reg_reg,0,primitive_ok,unknown,
incb,6800,INC,0x00C,reg_reg,0,primitive_ok,unknown,
deca,6800,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
decb,6800,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
tsta,6800,TST,0x017,reg_reg,0,primitive_ok,unknown,
tstb,6800,TST,0x017,reg_reg,0,primitive_ok,unknown,
ldaa,6800,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
ldab,6800,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
jmp,6800,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jsr,6800,CALL,0x072,reg_reg,0,primitive_ok,unknown,
rts,6800,RET,0x064,reg_reg,0,primitive_ok,unknown,
nop,6800,NOP,0x000,reg_reg,0,primitive_ok,unknown,
