# Tomato32 ISA profile: MC68000 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
moveq,68k,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
move,68k,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
add,68k,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,68k,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,68k,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,68k,OR,0x004,reg_reg,0,primitive_ok,unknown,
eor,68k,XOR,0x005,reg_reg,0,primitive_ok,unknown,
not,68k,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,68k,NEG,0x007,reg_reg,0,primitive_ok,unknown,
clr,68k,CLR,0x0B7,reg_reg,0,primitive_ok,unknown,
cmp,68k,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
tst,68k,TST,0x017,reg_reg,0,primitive_ok,unknown,
muls,68k,MUL,0x080,reg_reg,0,primitive_ok,unknown,
mulu,68k,MUL,0x080,reg_reg,0,primitive_ok,unknown,
divs,68k,DIV,0x090,reg_reg,0,primitive_ok,unknown,
divu,68k,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
beq,68k,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,68k,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bgt,68k,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
ble,68k,BLEZ,0x056,reg_reg,0,primitive_ok,unknown,
blt,68k,BLT,0x052,reg_reg,0,primitive_ok,unknown,
bge,68k,BGE,0x053,reg_reg,0,primitive_ok,unknown,
bra,68k,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bsr,68k,CALL,0x072,reg_reg,0,primitive_ok,unknown,
rts,68k,RET,0x064,reg_reg,0,primitive_ok,unknown,
link,68k,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
unlk,68k,POP,0x071,reg_reg,0,primitive_ok,unknown,
pea,68k,LEA,,reg_reg,0,primitive_ok,n/a,
movem,68k,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
ext,68k,LSL,0x020,reg_reg,0,primitive_ok,unknown,
swap,68k,REV,0x0A5,reg_reg,0,primitive_ok,unknown,
exg,68k,XCHG,0x0DB,reg_reg,0,primitive_ok,unknown,
trap,68k,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
nop,68k,NOP,0x000,reg_reg,0,primitive_ok,unknown,
stop,68k,HALT,0x3FF,reg_reg,0,primitive_ok,unknown,
reset,68k,RESET,0x0D9,reg_reg,0,blocked_datapath,unknown,
move.b,68k,LB,0x033,reg_reg,0,primitive_ok,unknown,
move.w,68k,LH,0x031,reg_reg,0,primitive_ok,unknown,
move.l,68k,LW,0x030,reg_reg,0,primitive_ok,unknown,
movem.l,68k,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
sb,68k,SB,0x042,reg_reg,0,primitive_ok,unknown,
sh,68k,SH,0x041,reg_reg,0,primitive_ok,unknown,
sw,68k,SW,0x040,reg_reg,0,primitive_ok,unknown,
dbra,68k,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
dbcc,68k,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
scc,68k,CSET,0x0C6,reg_reg,0,primitive_ok,unknown,
btst,68k,TST,0x017,reg_reg,0,primitive_ok,unknown,
bset,68k,OR,0x004,reg_reg,0,primitive_ok,unknown,
bclr,68k,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
bchg,68k,XOR,0x005,reg_reg,0,primitive_ok,unknown,
