# Tomato32 ISA profile: MIPS16 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,MIPS16,ADD,0x001,reg_reg,0,primitive_ok,unknown,
addu,MIPS16,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,MIPS16,SUB,0x002,reg_reg,0,primitive_ok,unknown,
subu,MIPS16,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,MIPS16,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,MIPS16,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,MIPS16,XOR,0x005,reg_reg,0,primitive_ok,unknown,
nor,MIPS16,NOR,0x0B9,reg_reg,0,primitive_ok,unknown,
slt,MIPS16,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
sltu,MIPS16,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
mult,MIPS16,MUL,0x080,reg_reg,0,primitive_ok,unknown,
multu,MIPS16,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div,MIPS16,DIV,0x090,reg_reg,0,primitive_ok,unknown,
divu,MIPS16,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
mfhi,MIPS16,MFHI,0x084,reg_reg,0,primitive_ok,unknown,
mflo,MIPS16,MUL,0x080,reg_reg,0,primitive_ok,unknown,
mthi,MIPS16,MFHI,0x084,reg_reg,0,primitive_ok,unknown,
mtlo,MIPS16,MUL,0x080,reg_reg,0,primitive_ok,unknown,
addi,MIPS16,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
addiu,MIPS16,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
slti,MIPS16,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
sltiu,MIPS16,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
andi,MIPS16,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
ori,MIPS16,ORI,0x013,reg_reg,0,primitive_ok,unknown,
xori,MIPS16,XORI,0x014,reg_reg,0,primitive_ok,unknown,
lui,MIPS16,LUI,0x019,reg_reg,0,primitive_ok,unknown,
lw,MIPS16,LW,0x030,reg_reg,0,primitive_ok,unknown,
lh,MIPS16,LH,0x031,reg_reg,0,primitive_ok,unknown,
