# Tomato32 ISA profile: MSP430 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,MSP,ADD,0x001,reg_reg,0,primitive_ok,unknown,
addc,MSP,ADC,0x008,reg_reg,0,primitive_ok,unknown,
sub,MSP,SUB,0x002,reg_reg,0,primitive_ok,unknown,
subc,MSP,SBC,0x009,reg_reg,0,primitive_ok,unknown,
and,MSP,AND,0x003,reg_reg,0,primitive_ok,unknown,
bis,MSP,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,MSP,XOR,0x005,reg_reg,0,primitive_ok,unknown,
inv,MSP,NOT,0x006,reg_reg,0,primitive_ok,unknown,
inc,MSP,INC,0x00C,reg_reg,0,primitive_ok,unknown,
dec,MSP,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
cmp,MSP,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
bit,MSP,TST,0x017,reg_reg,0,primitive_ok,unknown,
mov,MSP,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
clr,MSP,CLR,0x0B7,reg_reg,0,primitive_ok,unknown,
rrc,MSP,ROR,0x023,reg_reg,0,primitive_ok,unknown,
rra,MSP,ASR,0x022,reg_reg,0,primitive_ok,unknown,
rla,MSP,ROL,,reg_reg,0,primitive_ok,n/a,
rlc,MSP,ROL,,reg_reg,0,primitive_ok,n/a,
swpb,MSP,REV,0x0A5,reg_reg,0,primitive_ok,unknown,
sxt,MSP,LB,0x033,reg_reg,0,primitive_ok,unknown,
jmp,MSP,JMP,0x062,reg_reg,0,primitive_ok,unknown,
call,MSP,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,MSP,RET,0x064,reg_reg,0,primitive_ok,unknown,
reti,MSP,IRET,0x0D5,reg_reg,0,trap_emulate,unknown,
jz,MSP,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
jnz,MSP,BNE,0x051,reg_reg,0,primitive_ok,unknown,
jc,MSP,BCS,,reg_reg,0,primitive_ok,n/a,
jnc,MSP,BCC,,reg_reg,0,primitive_ok,n/a,
nop,MSP,NOP,0x000,reg_reg,0,primitive_ok,unknown,
