# Tomato32 ISA profile: OpenRISC — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
l.add,OR,ADD,0x001,reg_reg,0,primitive_ok,unknown,
l.sub,OR,SUB,0x002,reg_reg,0,primitive_ok,unknown,
l.and,OR,AND,0x003,reg_reg,0,primitive_ok,unknown,
l.or,OR,OR,0x004,reg_reg,0,primitive_ok,unknown,
l.xor,OR,XOR,0x005,reg_reg,0,primitive_ok,unknown,
l.nand,OR,NAND,0x0B8,reg_reg,0,primitive_ok,unknown,
l.nor,OR,NOR,0x0B9,reg_reg,0,primitive_ok,unknown,
l.xnor,OR,XNOR,0x0BA,reg_reg,0,primitive_ok,unknown,
l.addi,OR,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
l.andi,OR,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
l.ori,OR,ORI,0x013,reg_reg,0,primitive_ok,unknown,
l.xori,OR,XORI,0x014,reg_reg,0,primitive_ok,unknown,
l.lwz,OR,LW,0x030,reg_reg,0,primitive_ok,unknown,
l.lbs,OR,LB,0x033,reg_reg,0,primitive_ok,unknown,
l.lbz,OR,LBU,0x034,reg_reg,0,primitive_ok,unknown,
l.lhs,OR,LH,0x031,reg_reg,0,primitive_ok,unknown,
l.lhz,OR,LHU,0x032,reg_reg,0,primitive_ok,unknown,
l.sb,OR,SB,0x042,reg_reg,0,primitive_ok,unknown,
l.sh,OR,SH,0x041,reg_reg,0,primitive_ok,unknown,
l.sw,OR,SW,0x040,reg_reg,0,primitive_ok,unknown,
l.bf,OR,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
l.bnf,OR,BNE,0x051,reg_reg,0,primitive_ok,unknown,
l.j,OR,JMP,0x062,reg_reg,0,primitive_ok,unknown,
l.jal,OR,JAL,0x060,reg_reg,0,primitive_ok,unknown,
l.jr,OR,JR,0x063,reg_reg,0,primitive_ok,unknown,
l.jalr,OR,JALR,0x061,reg_reg,0,primitive_ok,unknown,
l.slli,OR,LSLI,0x024,reg_reg,0,primitive_ok,unknown,
l.srli,OR,LSRI,0x025,reg_reg,0,primitive_ok,unknown,
l.srai,OR,ASRI,0x026,reg_reg,0,primitive_ok,unknown,
l.muli,OR,MULI,0x085,reg_reg,0,primitive_ok,unknown,
l.div,OR,DIV,0x090,reg_reg,0,primitive_ok,unknown,
l.divu,OR,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
l.mulu,OR,MUL,0x080,reg_reg,0,primitive_ok,unknown,
l.mul,OR,MUL,0x080,reg_reg,0,primitive_ok,unknown,
l.sys,OR,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
l.nop,OR,NOP,0x000,reg_reg,0,primitive_ok,unknown,
l.mfspr,OR,CSRR,0x0A0,reg_reg,0,blocked_datapath,unknown,
l.mtspr,OR,CSRW,0x0A1,reg_reg,0,primitive_ok,unknown,
