# Tomato32 ISA profile: PA_RISC — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,PA,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,PA,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,PA,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,PA,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,PA,XOR,0x005,reg_reg,0,primitive_ok,unknown,
andcm,PA,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
shladd,PA,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sll,PA,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srl,PA,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sra,PA,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ldw,PA,LW,0x030,reg_reg,0,primitive_ok,unknown,
ldb,PA,LB,0x033,reg_reg,0,primitive_ok,unknown,
ldh,PA,LH,0x031,reg_reg,0,primitive_ok,unknown,
stw,PA,SW,0x040,reg_reg,0,primitive_ok,unknown,
stb,PA,SB,0x042,reg_reg,0,primitive_ok,unknown,
sth,PA,SH,0x041,reg_reg,0,primitive_ok,unknown,
combt,PA,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
combf,PA,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bl,PA,CALL,0x072,reg_reg,0,primitive_ok,unknown,
bv,PA,JR,0x063,reg_reg,0,primitive_ok,unknown,
be,PA,JMP,0x062,reg_reg,0,primitive_ok,unknown,
nop,PA,NOP,0x000,reg_reg,0,primitive_ok,unknown,
break,PA,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
rfi,PA,IRET,0x0D5,reg_reg,0,trap_emulate,unknown,
mtsar,PA,CSRW,0x0A1,reg_reg,0,primitive_ok,unknown,
mfsar,PA,CSRR,0x0A0,reg_reg,0,blocked_datapath,unknown,
zdep,PA,OR,0x004,reg_reg,0,primitive_ok,unknown,
zextr,PA,AND,0x003,reg_reg,0,primitive_ok,unknown,
cmpib,PA,CMPI,0x018,reg_reg,0,primitive_ok,unknown,
addi,PA,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
addil,PA,LUI,0x019,reg_reg,0,primitive_ok,unknown,
ldil,PA,LUI,0x019,reg_reg,0,primitive_ok,unknown,
ldo,PA,LEA,,reg_reg,0,primitive_ok,n/a,
mult,PA,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div,PA,DIV,0x090,reg_reg,0,primitive_ok,unknown,
