# Tomato32 ISA profile: PDP11 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
mov,PDP,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
cmp,PDP,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
bit,PDP,TST,0x017,reg_reg,0,primitive_ok,unknown,
bic,PDP,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
bis,PDP,OR,0x004,reg_reg,0,primitive_ok,unknown,
add,PDP,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,PDP,SUB,0x002,reg_reg,0,primitive_ok,unknown,
mul,PDP,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div,PDP,DIV,0x090,reg_reg,0,primitive_ok,unknown,
ash,PDP,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ashc,PDP,ASR,0x022,reg_reg,0,primitive_ok,unknown,
asl,PDP,LSL,0x020,reg_reg,0,primitive_ok,unknown,
asr,PDP,ASR,0x022,reg_reg,0,primitive_ok,unknown,
xor,PDP,XOR,0x005,reg_reg,0,primitive_ok,unknown,
adc,PDP,ADC,0x008,reg_reg,0,primitive_ok,unknown,
sbc,PDP,SBC,0x009,reg_reg,0,primitive_ok,unknown,
neg,PDP,NEG,0x007,reg_reg,0,primitive_ok,unknown,
com,PDP,NOT,0x006,reg_reg,0,primitive_ok,unknown,
inc,PDP,INC,0x00C,reg_reg,0,primitive_ok,unknown,
dec,PDP,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
swab,PDP,REV,0x0A5,reg_reg,0,primitive_ok,unknown,
tst,PDP,TST,0x017,reg_reg,0,primitive_ok,unknown,
clr,PDP,CLR,0x0B7,reg_reg,0,primitive_ok,unknown,
jmp,PDP,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jsr,PDP,CALL,0x072,reg_reg,0,primitive_ok,unknown,
rts,PDP,RET,0x064,reg_reg,0,primitive_ok,unknown,
br,PDP,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bne,PDP,BNE,0x051,reg_reg,0,primitive_ok,unknown,
beq,PDP,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bge,PDP,BGE,0x053,reg_reg,0,primitive_ok,unknown,
blt,PDP,BLT,0x052,reg_reg,0,primitive_ok,unknown,
bgt,PDP,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
ble,PDP,BLEZ,0x056,reg_reg,0,primitive_ok,unknown,
bhi,PDP,BHI,0x0DC,reg_reg,0,primitive_ok,unknown,
blos,PDP,BLS,0x0DD,reg_reg,0,primitive_ok,unknown,
halt,PDP,HALT,0x3FF,reg_reg,0,primitive_ok,unknown,
wait,PDP,WAIT,0x0D8,reg_reg,0,trap_emulate,unknown,
reset,PDP,RESET,0x0D9,reg_reg,0,blocked_datapath,unknown,
mtps,PDP,CSRW,0x0A1,reg_reg,0,primitive_ok,unknown,
mfps,PDP,CSRR,0x0A0,reg_reg,0,blocked_datapath,unknown,
trap,PDP,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
