# Tomato32 ISA profile: PIC18 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
addwf,PIC,ADD,0x001,reg_reg,0,primitive_ok,unknown,
subwf,PIC,SUB,0x002,reg_reg,0,primitive_ok,unknown,
andwf,PIC,AND,0x003,reg_reg,0,primitive_ok,unknown,
iorwf,PIC,OR,0x004,reg_reg,0,primitive_ok,unknown,
xorwf,PIC,XOR,0x005,reg_reg,0,primitive_ok,unknown,
movf,PIC,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
clrf,PIC,CLR,0x0B7,reg_reg,0,primitive_ok,unknown,
incf,PIC,INC,0x00C,reg_reg,0,primitive_ok,unknown,
decf,PIC,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
comf,PIC,NOT,0x006,reg_reg,0,primitive_ok,unknown,
rlcf,PIC,ROL,,reg_reg,0,primitive_ok,n/a,
rrcf,PIC,ROR,0x023,reg_reg,0,primitive_ok,unknown,
bcf,PIC,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
bsf,PIC,OR,0x004,reg_reg,0,primitive_ok,unknown,
call,PIC,CALL,0x072,reg_reg,0,primitive_ok,unknown,
return,PIC,RET,0x064,reg_reg,0,primitive_ok,unknown,
goto,PIC,JMP,0x062,reg_reg,0,primitive_ok,unknown,
mulwf,PIC,MUL,0x080,reg_reg,0,primitive_ok,unknown,
cpfseq,PIC,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
cpfsgt,PIC,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
nop,PIC,NOP,0x000,reg_reg,0,primitive_ok,unknown,
