# Tomato32 ISA profile: PowerPC32 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,PPC,ADD,0x001,reg_reg,0,primitive_ok,unknown,
subf,PPC,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,PPC,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,PPC,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,PPC,XOR,0x005,reg_reg,0,primitive_ok,unknown,
nand,PPC,NAND,0x0B8,reg_reg,0,primitive_ok,unknown,
nor,PPC,NOR,0x0B9,reg_reg,0,primitive_ok,unknown,
eqv,PPC,XNOR,0x0BA,reg_reg,0,primitive_ok,unknown,
andc,PPC,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
orc,PPC,ORN,0x00B,reg_reg,0,primitive_ok,unknown,
addi,PPC,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
addis,PPC,LUI,0x019,reg_reg,0,primitive_ok,unknown,
andi,PPC,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
ori,PPC,ORI,0x013,reg_reg,0,primitive_ok,unknown,
xori,PPC,XORI,0x014,reg_reg,0,primitive_ok,unknown,
lwz,PPC,LW,0x030,reg_reg,0,primitive_ok,unknown,
lbz,PPC,LBU,0x034,reg_reg,0,primitive_ok,unknown,
lhz,PPC,LHU,0x032,reg_reg,0,primitive_ok,unknown,
lha,PPC,LH,0x031,reg_reg,0,primitive_ok,unknown,
stw,PPC,SW,0x040,reg_reg,0,primitive_ok,unknown,
stb,PPC,SB,0x042,reg_reg,0,primitive_ok,unknown,
sth,PPC,SH,0x041,reg_reg,0,primitive_ok,unknown,
b,PPC,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bl,PPC,CALL,0x072,reg_reg,0,primitive_ok,unknown,
bc,PPC,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,PPC,BNE,0x051,reg_reg,0,primitive_ok,unknown,
cmp,PPC,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
cmpl,PPC,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
mullw,PPC,MUL,0x080,reg_reg,0,primitive_ok,unknown,
divw,PPC,DIV,0x090,reg_reg,0,primitive_ok,unknown,
slw,PPC,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srw,PPC,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sraw,PPC,ASR,0x022,reg_reg,0,primitive_ok,unknown,
cntlzw,PPC,CLZ,0x0A2,reg_reg,0,primitive_ok,unknown,
extsb,PPC,LB,0x033,reg_reg,0,primitive_ok,unknown,
extsh,PPC,LH,0x031,reg_reg,0,primitive_ok,unknown,
mr,PPC,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
mflr,PPC,CSRR,0x0A0,reg_reg,0,blocked_datapath,unknown,
mtlr,PPC,CSRW,0x0A1,reg_reg,0,primitive_ok,unknown,
sc,PPC,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
rfi,PPC,IRET,0x0D5,reg_reg,0,trap_emulate,unknown,
