# Tomato32 ISA profile: RISC_I — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,RISC-I,ADD,0x001,reg_reg,0,primitive_ok,unknown,
addi,RISC-I,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
sub,RISC-I,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,RISC-I,AND,0x003,reg_reg,0,primitive_ok,unknown,
andi,RISC-I,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
or,RISC-I,OR,0x004,reg_reg,0,primitive_ok,unknown,
ori,RISC-I,ORI,0x013,reg_reg,0,primitive_ok,unknown,
xor,RISC-I,XOR,0x005,reg_reg,0,primitive_ok,unknown,
xori,RISC-I,XORI,0x014,reg_reg,0,primitive_ok,unknown,
sll,RISC-I,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srl,RISC-I,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sra,RISC-I,ASR,0x022,reg_reg,0,primitive_ok,unknown,
slt,RISC-I,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
sltu,RISC-I,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
lw,RISC-I,LW,0x030,reg_reg,0,primitive_ok,unknown,
lh,RISC-I,LH,0x031,reg_reg,0,primitive_ok,unknown,
lb,RISC-I,LB,0x033,reg_reg,0,primitive_ok,unknown,
sw,RISC-I,SW,0x040,reg_reg,0,primitive_ok,unknown,
sh,RISC-I,SH,0x041,reg_reg,0,primitive_ok,unknown,
sb,RISC-I,SB,0x042,reg_reg,0,primitive_ok,unknown,
beq,RISC-I,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,RISC-I,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bge,RISC-I,BGE,0x053,reg_reg,0,primitive_ok,unknown,
blt,RISC-I,BLT,0x052,reg_reg,0,primitive_ok,unknown,
j,RISC-I,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jal,RISC-I,JAL,0x060,reg_reg,0,primitive_ok,unknown,
jr,RISC-I,JR,0x063,reg_reg,0,primitive_ok,unknown,
jalr,RISC-I,JALR,0x061,reg_reg,0,primitive_ok,unknown,
lui,RISC-I,LUI,0x019,reg_reg,0,primitive_ok,unknown,
nop,RISC-I,NOP,0x000,reg_reg,0,primitive_ok,unknown,
break,RISC-I,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
syscall,RISC-I,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
