# Tomato32 ISA profile: RV32C — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
c.addi,CI,ADDI,0x010,imm12_i_type,3,primitive_ok,unknown,
c.li,CI,ADDI,0x010,imm12_i_type,3,primitive_ok,unknown,rd=x0 special
c.lui,CI,LUI,0x019,imm20_upper,11,primitive_ok,unknown,
c.addi16sp,CI,ADDI,0x010,imm12_i_type,3,primitive_ok,unknown,
c.addi4spn,CIW,ADDI,0x010,imm12_i_type,3,primitive_ok,unknown,
c.sub,CS,SUB,0x002,reg_reg,0,primitive_ok,unknown,
c.xor,CS,XOR,0x005,reg_reg,0,primitive_ok,unknown,
c.or,CS,OR,0x004,reg_reg,0,primitive_ok,unknown,
c.and,CS,AND,0x003,reg_reg,0,primitive_ok,unknown,
c.slli,CI,LSLI,0x024,imm_shamt,5,primitive_ok,unknown,
c.srli,CI,LSRI,0x025,imm_shamt,5,primitive_ok,unknown,
c.srai,CI,ASRI,0x026,imm_shamt,5,primitive_ok,unknown,
c.lw,CL,LW,0x030,off12_sign,3,primitive_ok,unknown,
c.sw,CS,SW,0x040,off12_sign,3,primitive_ok,unknown,
c.lwsp,CL,LW,0x030,off12_sign,3,primitive_ok,unknown,
c.swsp,CS,SW,0x040,off12_sign,3,primitive_ok,unknown,
c.beqz,CB,BEQ,0x050,br18_x4,12,primitive_ok,unknown,
c.bnez,CB,BNE,0x051,br18_x4,12,primitive_ok,unknown,
c.j,CJ,JMP,0x062,jmp26_x4,13,primitive_ok,unknown,
c.jal,CJ,JAL,0x060,jmp26_x4,13,primitive_ok,unknown,
c.jr,CR,JR,0x063,reg_reg,0,primitive_ok,unknown,
c.jalr,CR,JALR,0x061,off12_sign,3,primitive_ok,unknown,
c.mv,CR,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
c.add,CR,ADD,0x001,reg_reg,0,primitive_ok,unknown,
c.nop,CI,NOP,0x000,reg_reg,0,primitive_ok,unknown,
c.ebreak,CI,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
c.andi,CI,ANDI,0x012,imm16_zero,7,primitive_ok,unknown,
