# Tomato32 ISA profile: RV32E — maps onto docs/isa/opcodes.csv. tomato32.txt aspirational coverage: 100%. 16 GPR subset; same mnemonics as RV32I.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
lui,U,LUI,0x019,imm20_upper,11,primitive_ok,unknown,
auipc,U,AUIPC,0x01A,imm20_upper,11,primitive_ok,unknown,multi-cycle
jal,J,JAL,0x060,imm24_sign,9,primitive_ok,unknown,
jalr,I,JALR,0x061,off12_sign,3,primitive_ok,unknown,
beq,B,BEQ,0x050,br18_x4,12,primitive_ok,unknown,branch COND
bne,B,BNE,0x051,br18_x4,12,primitive_ok,unknown,branch COND bug
blt,B,BLT,0x052,br18_x4,12,primitive_ok,unknown,branch COND
bge,B,BGE,0x053,br18_x4,12,primitive_ok,unknown,branch COND
bltu,B,BLTU,0x054,br18_x4,12,primitive_ok,unknown,
bgeu,B,BGEU,0x055,br18_x4,12,primitive_ok,unknown,
lb,I,LB,0x033,off12_sign,3,primitive_ok,unknown,offset ALU ROM
lh,I,LH,0x031,off12_sign,3,primitive_ok,unknown,
lw,I,LW,0x030,off12_sign,3,primitive_ok,unknown,
lbu,I,LBU,0x034,off12_sign,3,primitive_ok,unknown,
lhu,I,LHU,0x032,off12_sign,3,primitive_ok,unknown,
sb,S,SB,0x042,off12_sign,3,primitive_ok,unknown,
sh,S,SH,0x041,off12_sign,3,primitive_ok,unknown,
sw,S,SW,0x040,off12_sign,3,primitive_ok,unknown,
addi,I,ADDI,0x010,imm12_i_type,3,primitive_ok,unknown,
slti,I,SLT,0x01E,imm12_i_type,3,primitive_ok,unknown,SLT hardware TBD
sltiu,I,SLTU,0x01F,imm12_i_type,3,primitive_ok,unknown,
xori,I,XORI,0x014,imm16_zero,7,primitive_ok,unknown,
ori,I,ORI,0x013,imm16_zero,7,primitive_ok,unknown,
andi,I,ANDI,0x012,imm16_zero,7,primitive_ok,unknown,
slli,I,LSLI,0x024,imm_shamt,5,primitive_ok,unknown,
srli,I,LSRI,0x025,imm_shamt,5,primitive_ok,unknown,
srai,I,ASRI,0x026,imm_shamt,5,primitive_ok,unknown,
add,R,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,R,SUB,0x002,reg_reg,0,primitive_ok,unknown,
xor,R,XOR,0x005,reg_reg,0,primitive_ok,unknown,
or,R,OR,0x004,reg_reg,0,primitive_ok,unknown,
and,R,AND,0x003,reg_reg,0,primitive_ok,unknown,
sll,R,LSL,0x020,reg_shamt,0,primitive_ok,unknown,
srl,R,LSR,0x021,reg_shamt,0,primitive_ok,unknown,
sra,R,ASR,0x022,reg_shamt,0,primitive_ok,unknown,
slt,R,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
sltu,R,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
fence,I,FENCE,0x0D2,reg_reg,0,trap_emulate,unknown,NOP ok
ecall,I,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,trap stub
ebreak,I,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,trap stub
