# Tomato32 ISA profile: RV32Zbb — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
clz,R,CLZ,0x0A2,reg_reg,0,primitive_ok,unknown,
ctz,R,CTZ,0x0A3,reg_reg,0,primitive_ok,unknown,
cpop,R,POPCNT,0x0A4,reg_reg,0,blocked_datapath,unknown,
andn,R,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
orn,R,ORN,0x00B,reg_reg,0,primitive_ok,unknown,
xnor,R,XNOR,0x0BA,reg_reg,0,primitive_ok,unknown,
max,R,SGT,0x0C2,reg_reg,0,primitive_ok,unknown,
maxu,R,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
min,R,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
minu,R,BLTU,0x054,reg_reg,0,primitive_ok,unknown,
sext.b,R,LB,0x033,reg_reg,0,primitive_ok,unknown,
sext.h,R,LH,0x031,reg_reg,0,primitive_ok,unknown,
zext.h,R,LHU,0x032,reg_reg,0,primitive_ok,unknown,
rev8,R,REV,0x0A5,reg_reg,0,primitive_ok,unknown,
rol,R,ROL,,reg_reg,0,primitive_ok,n/a,
ror,R,ROR,0x023,reg_reg,0,primitive_ok,unknown,
rori,R,RORI,0x027,reg_reg,0,primitive_ok,unknown,
bclr,R,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
bset,R,OR,0x004,reg_reg,0,primitive_ok,unknown,
binv,R,XOR,0x005,reg_reg,0,primitive_ok,unknown,
bext,R,AND,0x003,reg_reg,0,primitive_ok,unknown,
