# Tomato32 ISA profile: RV32 Zkn (scalar crypto) — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
aes64es,Zkn,AESENC,0x0E0,reg_reg,0,trap_emulate,unknown,no native AES round; microcode sequence
aes64esm,Zkn,AESENC,0x0E0,reg_reg,0,trap_emulate,unknown,mix-columns variant
aes64ds,Zkn,AESDEC,0x0E1,reg_reg,0,trap_emulate,unknown,
aes64dsm,Zkn,AESDEC,0x0E1,reg_reg,0,trap_emulate,unknown,
aes64im,Zkn,XOR,0x005,reg_reg,0,trap_emulate,unknown,inverse mix via LUT micro-loop
sha256sig0,Zkn,SHA256,0x0E2,reg_reg,0,trap_emulate,unknown,sigma0 via shift+XOR sequence
sha256sig1,Zkn,SHA256,0x0E2,reg_reg,0,trap_emulate,unknown,
sha256sum0,Zkn,SHA256,0x0E2,reg_reg,0,trap_emulate,unknown,
sha256sum1,Zkn,SHA256,0x0E2,reg_reg,0,trap_emulate,unknown,
sha512sig0,Zkn,SHA512,0x0E3,reg_reg,0,trap_emulate,unknown,64-bit halves emulated
sha512sig1,Zkn,SHA512,0x0E3,reg_reg,0,trap_emulate,unknown,
sha512sum0,Zkn,SHA512,0x0E3,reg_reg,0,trap_emulate,unknown,
sha512sum1,Zkn,SHA512,0x0E3,reg_reg,0,trap_emulate,unknown,
sm4ed,Zkn,XOR,0x005,reg_reg,0,trap_emulate,unknown,SM4 not native
sm4ks,Zkn,XOR,0x005,reg_reg,0,trap_emulate,unknown,
