# Tomato32 ISA profile: Renesas RX — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,RX,ADD,0x001,reg_reg,0,primitive_ok,unknown,32-bit RISC MCU; V850-class datapath
addi,RX,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
and,RX,AND,0x003,reg_reg,0,primitive_ok,unknown,
andi,RX,ANDI,0x012,reg_reg,0,primitive_ok,unknown,
beq,RX,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bge,RX,BGE,0x053,reg_reg,0,primitive_ok,unknown,
bgt,RX,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
ble,RX,BLEZ,0x056,reg_reg,0,primitive_ok,unknown,
blt,RX,BLT,0x052,reg_reg,0,primitive_ok,unknown,
bne,RX,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bra,RX,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bsr,RX,CALL,0x072,reg_reg,0,primitive_ok,unknown,
cmp,RX,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
div,RX,DIV,0x090,reg_reg,0,primitive_ok,unknown,
divu,RX,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
jmp,RX,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jsr,RX,CALL,0x072,reg_reg,0,primitive_ok,unknown,
lb,RX,LB,0x033,reg_reg,0,primitive_ok,unknown,
lh,RX,LH,0x031,reg_reg,0,primitive_ok,unknown,
lw,RX,LW,0x030,reg_reg,0,primitive_ok,unknown,
mov,RX,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
movu,RX,MOV,0x00E,reg_reg,0,primitive_ok,unknown,zero-extend alias
mul,RX,MUL,0x080,reg_reg,0,primitive_ok,unknown,
neg,RX,NEG,0x007,reg_reg,0,primitive_ok,unknown,
nop,RX,NOP,0x000,reg_reg,0,primitive_ok,unknown,
not,RX,NOT,0x006,reg_reg,0,primitive_ok,unknown,
or,RX,OR,0x004,reg_reg,0,primitive_ok,unknown,
ori,RX,ORI,0x013,reg_reg,0,primitive_ok,unknown,
rts,RX,RET,0x064,reg_reg,0,primitive_ok,unknown,
sb,RX,SB,0x042,reg_reg,0,primitive_ok,unknown,
sh,RX,SH,0x041,reg_reg,0,primitive_ok,unknown,
shl,RX,LSL,0x020,reg_reg,0,primitive_ok,unknown,
shr,RX,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sar,RX,ASR,0x022,reg_reg,0,primitive_ok,unknown,
sub,RX,SUB,0x002,reg_reg,0,primitive_ok,unknown,
sw,RX,SW,0x040,reg_reg,0,primitive_ok,unknown,
xor,RX,XOR,0x005,reg_reg,0,primitive_ok,unknown,
xori,RX,XORI,0x014,reg_reg,0,primitive_ok,unknown,
