# Tomato32 ISA profile: SH1 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
mov,SH,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
add,SH,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,SH,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,SH,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,SH,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,SH,XOR,0x005,reg_reg,0,primitive_ok,unknown,
not,SH,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,SH,NEG,0x007,reg_reg,0,primitive_ok,unknown,
mul,SH,MUL,0x080,reg_reg,0,primitive_ok,unknown,
shll,SH,LSL,0x020,reg_reg,0,primitive_ok,unknown,
shlr,SH,LSR,0x021,reg_reg,0,primitive_ok,unknown,
shar,SH,ASR,0x022,reg_reg,0,primitive_ok,unknown,
mov.b,SH,LB,0x033,reg_reg,0,primitive_ok,unknown,
mov.w,SH,LH,0x031,reg_reg,0,primitive_ok,unknown,
mov.l,SH,LW,0x030,reg_reg,0,primitive_ok,unknown,
bf,SH,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bt,SH,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bra,SH,JMP,0x062,reg_reg,0,primitive_ok,unknown,
bsr,SH,CALL,0x072,reg_reg,0,primitive_ok,unknown,
rts,SH,RET,0x064,reg_reg,0,primitive_ok,unknown,
trapa,SH,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
nop,SH,NOP,0x000,reg_reg,0,primitive_ok,unknown,
