# Tomato32 ISA profile: SPARC_V8 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,SPARC,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,SPARC,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,SPARC,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,SPARC,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,SPARC,XOR,0x005,reg_reg,0,primitive_ok,unknown,
andn,SPARC,ANDN,0x00A,reg_reg,0,primitive_ok,unknown,
orn,SPARC,ORN,0x00B,reg_reg,0,primitive_ok,unknown,
xnor,SPARC,XNOR,0x0BA,reg_reg,0,primitive_ok,unknown,
addcc,SPARC,ADD,0x001,reg_reg,0,primitive_ok,unknown,
subcc,SPARC,SUB,0x002,reg_reg,0,primitive_ok,unknown,
ldsb,SPARC,LB,0x033,reg_reg,0,primitive_ok,unknown,
ldsh,SPARC,LH,0x031,reg_reg,0,primitive_ok,unknown,
ldub,SPARC,LBU,0x034,reg_reg,0,primitive_ok,unknown,
lduh,SPARC,LHU,0x032,reg_reg,0,primitive_ok,unknown,
ld,SPARC,LW,0x030,reg_reg,0,primitive_ok,unknown,
stb,SPARC,SB,0x042,reg_reg,0,primitive_ok,unknown,
sth,SPARC,SH,0x041,reg_reg,0,primitive_ok,unknown,
st,SPARC,SW,0x040,reg_reg,0,primitive_ok,unknown,
sethi,SPARC,LUI,0x019,reg_reg,0,primitive_ok,unknown,
sll,SPARC,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srl,SPARC,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sra,SPARC,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ba,SPARC,JMP,0x062,reg_reg,0,primitive_ok,unknown,
call,SPARC,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,SPARC,RET,0x064,reg_reg,0,primitive_ok,unknown,
be,SPARC,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bne,SPARC,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bl,SPARC,BLT,0x052,reg_reg,0,primitive_ok,unknown,
bge,SPARC,BGE,0x053,reg_reg,0,primitive_ok,unknown,
bcs,SPARC,BCS,,reg_reg,0,primitive_ok,n/a,
bcc,SPARC,BCC,,reg_reg,0,primitive_ok,n/a,
bvs,SPARC,BVS,,reg_reg,0,primitive_ok,n/a,
bvc,SPARC,BVC,,reg_reg,0,primitive_ok,n/a,
ta,SPARC,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
flush,SPARC,FENCE,0x0D2,reg_reg,0,trap_emulate,unknown,
umul,SPARC,MUL,0x080,reg_reg,0,primitive_ok,unknown,
smul,SPARC,MUL,0x080,reg_reg,0,primitive_ok,unknown,
udiv,SPARC,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
sdiv,SPARC,DIV,0x090,reg_reg,0,primitive_ok,unknown,
mov,SPARC,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
cmp,SPARC,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
tst,SPARC,TST,0x017,reg_reg,0,primitive_ok,unknown,
nop,SPARC,NOP,0x000,reg_reg,0,primitive_ok,unknown,
