# Tomato32 ISA profile: Sweet16 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
set,VM,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
setr,VM,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
ld,VM,LB,0x033,reg_reg,0,primitive_ok,unknown,
st,VM,SB,0x042,reg_reg,0,primitive_ok,unknown,
ldd,VM,LW,0x030,reg_reg,0,primitive_ok,unknown,
std,VM,SW,0x040,reg_reg,0,primitive_ok,unknown,
pop,VM,POP,0x071,reg_reg,0,primitive_ok,unknown,
stpr,VM,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
br,VM,JMP,0x062,reg_reg,0,primitive_ok,unknown,
brnz,VM,BNE,0x051,reg_reg,0,primitive_ok,unknown,
brz,VM,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bnz,VM,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bm1,VM,BMI,,reg_reg,0,primitive_ok,n/a,
bm,VM,BMI,,reg_reg,0,primitive_ok,n/a,
rtn,VM,RET,0x064,reg_reg,0,primitive_ok,unknown,
add,VM,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,VM,SUB,0x002,reg_reg,0,primitive_ok,unknown,
popr,VM,POP,0x071,reg_reg,0,primitive_ok,unknown,
push,VM,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
nop,VM,NOP,0x000,reg_reg,0,primitive_ok,unknown,
