# Tomato32 ISA profile: V850 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,V850,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,V850,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,V850,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,V850,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,V850,XOR,0x005,reg_reg,0,primitive_ok,unknown,
cmp,V850,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
mov,V850,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
not,V850,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,V850,NEG,0x007,reg_reg,0,primitive_ok,unknown,
shl,V850,LSL,0x020,reg_reg,0,primitive_ok,unknown,
shr,V850,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sar,V850,ASR,0x022,reg_reg,0,primitive_ok,unknown,
ld.b,V850,LB,0x033,reg_reg,0,primitive_ok,unknown,
ld.h,V850,LH,0x031,reg_reg,0,primitive_ok,unknown,
ld.w,V850,LW,0x030,reg_reg,0,primitive_ok,unknown,
st.b,V850,SB,0x042,reg_reg,0,primitive_ok,unknown,
st.h,V850,SH,0x041,reg_reg,0,primitive_ok,unknown,
st.w,V850,SW,0x040,reg_reg,0,primitive_ok,unknown,
be,V850,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bn,V850,BNE,0x051,reg_reg,0,primitive_ok,unknown,
bl,V850,BLT,0x052,reg_reg,0,primitive_ok,unknown,
bh,V850,BGTZ,0x057,reg_reg,0,primitive_ok,unknown,
br,V850,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jarl,V850,CALL,0x072,reg_reg,0,primitive_ok,unknown,
jmp,V850,JMP,0x062,reg_reg,0,primitive_ok,unknown,
mul,V850,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div,V850,DIV,0x090,reg_reg,0,primitive_ok,unknown,
nop,V850,NOP,0x000,reg_reg,0,primitive_ok,unknown,
