# Tomato32 ISA profile: WASM_i32 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
i32.add,WASM,ADD,0x001,reg_reg,0,primitive_ok,unknown,
i32.sub,WASM,SUB,0x002,reg_reg,0,primitive_ok,unknown,
i32.mul,WASM,MUL,0x080,reg_reg,0,primitive_ok,unknown,
i32.div_s,WASM,DIV,0x090,reg_reg,0,primitive_ok,unknown,
i32.div_u,WASM,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
i32.rem_s,WASM,REM,0x092,reg_reg,0,primitive_ok,unknown,
i32.rem_u,WASM,REMU,0x093,reg_reg,0,primitive_ok,unknown,
i32.and,WASM,AND,0x003,reg_reg,0,primitive_ok,unknown,
i32.or,WASM,OR,0x004,reg_reg,0,primitive_ok,unknown,
i32.xor,WASM,XOR,0x005,reg_reg,0,primitive_ok,unknown,
i32.shl,WASM,LSL,0x020,reg_reg,0,primitive_ok,unknown,
i32.shr_s,WASM,ASR,0x022,reg_reg,0,primitive_ok,unknown,
i32.shr_u,WASM,LSR,0x021,reg_reg,0,primitive_ok,unknown,
i32.rotl,WASM,ROL,,reg_reg,0,primitive_ok,n/a,
i32.rotr,WASM,ROR,0x023,reg_reg,0,primitive_ok,unknown,
i32.clz,WASM,CLZ,0x0A2,reg_reg,0,primitive_ok,unknown,
i32.ctz,WASM,CTZ,0x0A3,reg_reg,0,primitive_ok,unknown,
i32.popcnt,WASM,POPCNT,0x0A4,reg_reg,0,blocked_datapath,unknown,
i32.eqz,WASM,SEQ,0x0C0,reg_reg,0,primitive_ok,unknown,
i32.eq,WASM,SEQ,0x0C0,reg_reg,0,primitive_ok,unknown,
i32.ne,WASM,SNE,0x0C1,reg_reg,0,primitive_ok,unknown,
i32.lt_s,WASM,SLT,0x01E,reg_reg,0,primitive_ok,unknown,
i32.lt_u,WASM,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
i32.gt_s,WASM,SGT,0x0C2,reg_reg,0,primitive_ok,unknown,
i32.gt_u,WASM,SLTU,0x01F,reg_reg,0,primitive_ok,unknown,
i32.le_s,WASM,SGE,0x0C3,reg_reg,0,primitive_ok,unknown,
i32.le_u,WASM,BGEU,0x055,reg_reg,0,primitive_ok,unknown,
i32.ge_s,WASM,SGE,0x0C3,reg_reg,0,primitive_ok,unknown,
i32.ge_u,WASM,BGEU,0x055,reg_reg,0,primitive_ok,unknown,
i32.load,WASM,LW,0x030,reg_reg,0,primitive_ok,unknown,
i32.load8_s,WASM,LB,0x033,reg_reg,0,primitive_ok,unknown,
i32.load8_u,WASM,LBU,0x034,reg_reg,0,primitive_ok,unknown,
i32.load16_s,WASM,LH,0x031,reg_reg,0,primitive_ok,unknown,
i32.load16_u,WASM,LHU,0x032,reg_reg,0,primitive_ok,unknown,
i32.store,WASM,SW,0x040,reg_reg,0,primitive_ok,unknown,
i32.store8,WASM,SB,0x042,reg_reg,0,primitive_ok,unknown,
i32.store16,WASM,SH,0x041,reg_reg,0,primitive_ok,unknown,
local.get,WASM,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
local.set,WASM,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
global.get,WASM,LW,0x030,reg_reg,0,primitive_ok,unknown,
global.set,WASM,SW,0x040,reg_reg,0,primitive_ok,unknown,
br,WASM,JMP,0x062,reg_reg,0,primitive_ok,unknown,
br_if,WASM,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
call,WASM,CALL,0x072,reg_reg,0,primitive_ok,unknown,
return,WASM,RET,0x064,reg_reg,0,primitive_ok,unknown,
drop,WASM,POP,0x071,reg_reg,0,primitive_ok,unknown,
select,WASM,SELB,0x0B5,reg_reg,0,primitive_ok,unknown,
i32.const,WASM,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
unreachable,WASM,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
nop,WASM,NOP,0x000,reg_reg,0,primitive_ok,unknown,
