# Tomato32 ISA profile: x86_32 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,x86,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,x86,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,x86,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,x86,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,x86,XOR,0x005,reg_reg,0,primitive_ok,unknown,
not,x86,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,x86,NEG,0x007,reg_reg,0,primitive_ok,unknown,
inc,x86,INC,0x00C,reg_reg,0,primitive_ok,unknown,
dec,x86,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
cmp,x86,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
test,x86,TST,0x017,reg_reg,0,primitive_ok,unknown,
adc,x86,ADC,0x008,reg_reg,0,primitive_ok,unknown,
sbb,x86,SBC,0x009,reg_reg,0,primitive_ok,unknown,
imul,x86,MUL,0x080,reg_reg,0,primitive_ok,unknown,
mul,x86,MUL,0x080,reg_reg,0,primitive_ok,unknown,
idiv,x86,DIV,0x090,reg_reg,0,primitive_ok,unknown,
div,x86,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
shl,x86,LSL,0x020,reg_reg,0,primitive_ok,unknown,
shr,x86,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sar,x86,ASR,0x022,reg_reg,0,primitive_ok,unknown,
rol,x86,ROL,,reg_reg,0,primitive_ok,n/a,
ror,x86,ROR,0x023,reg_reg,0,primitive_ok,unknown,
mov,x86,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
lea,x86,LEA,,reg_reg,0,primitive_ok,n/a,
push,x86,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
pop,x86,POP,0x071,reg_reg,0,primitive_ok,unknown,
call,x86,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,x86,RET,0x064,reg_reg,0,primitive_ok,unknown,
jmp,x86,JMP,0x062,reg_reg,0,primitive_ok,unknown,
je,x86,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
jne,x86,BNE,0x051,reg_reg,0,primitive_ok,unknown,
jl,x86,BLT,0x052,reg_reg,0,primitive_ok,unknown,
jge,x86,BGE,0x053,reg_reg,0,primitive_ok,unknown,
jb,x86,BLTU,0x054,reg_reg,0,primitive_ok,unknown,
jae,x86,BGEU,0x055,reg_reg,0,primitive_ok,unknown,
jo,x86,BVS,,reg_reg,0,primitive_ok,n/a,
jno,x86,BVC,,reg_reg,0,primitive_ok,n/a,
js,x86,BMI,,reg_reg,0,primitive_ok,n/a,
jns,x86,BPL,,reg_reg,0,primitive_ok,n/a,
jc,x86,BCS,,reg_reg,0,primitive_ok,n/a,
jnc,x86,BCC,,reg_reg,0,primitive_ok,n/a,
loop,x86,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
movzx,x86,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
movsx,x86,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
xchg,x86,XCHG,0x0DB,reg_reg,0,primitive_ok,unknown,
in,x86,IN,0x0D0,reg_reg,0,primitive_ok,unknown,
out,x86,OUT,0x0D1,reg_reg,0,primitive_ok,unknown,
nop,x86,NOP,0x000,reg_reg,0,primitive_ok,unknown,
hlt,x86,HALT,0x3FF,reg_reg,0,primitive_ok,unknown,
cli,x86,CLI,0x0D7,reg_reg,0,trap_emulate,unknown,
sti,x86,SEI,0x0D6,reg_reg,0,trap_emulate,unknown,
int,x86,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
bound,x86,EBREAK,0x0D4,reg_reg,0,trap_emulate,unknown,
enter,x86,PUSH,0x070,reg_reg,0,rom_spec_only,unknown,PUSHA/POPA rom_spec_only
leave,x86,POP,0x071,reg_reg,0,primitive_ok,unknown,
