# Tomato32 ISA profile: Xtensa — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
add,XT,ADD,0x001,reg_reg,0,primitive_ok,unknown,
sub,XT,SUB,0x002,reg_reg,0,primitive_ok,unknown,
and,XT,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,XT,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,XT,XOR,0x005,reg_reg,0,primitive_ok,unknown,
sll,XT,LSL,0x020,reg_reg,0,primitive_ok,unknown,
srl,XT,LSR,0x021,reg_reg,0,primitive_ok,unknown,
sra,XT,ASR,0x022,reg_reg,0,primitive_ok,unknown,
mul,XT,MUL,0x080,reg_reg,0,primitive_ok,unknown,
div,XT,DIV,0x090,reg_reg,0,primitive_ok,unknown,
l32i,XT,LW,0x030,reg_reg,0,primitive_ok,unknown,
s32i,XT,SW,0x040,reg_reg,0,primitive_ok,unknown,
l16ui,XT,LHU,0x032,reg_reg,0,primitive_ok,unknown,
l16si,XT,LH,0x031,reg_reg,0,primitive_ok,unknown,
l8ui,XT,LBU,0x034,reg_reg,0,primitive_ok,unknown,
l8si,XT,LB,0x033,reg_reg,0,primitive_ok,unknown,
s16i,XT,SH,0x041,reg_reg,0,primitive_ok,unknown,
s8i,XT,SB,0x042,reg_reg,0,primitive_ok,unknown,
beqz,XT,BEQ,0x050,reg_reg,0,primitive_ok,unknown,
bnez,XT,BNE,0x051,reg_reg,0,primitive_ok,unknown,
blt,XT,BLT,0x052,reg_reg,0,primitive_ok,unknown,
bge,XT,BGE,0x053,reg_reg,0,primitive_ok,unknown,
j,XT,JMP,0x062,reg_reg,0,primitive_ok,unknown,
call,XT,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,XT,RET,0x064,reg_reg,0,primitive_ok,unknown,
movi,XT,ADDI,0x010,reg_reg,0,primitive_ok,unknown,
mov,XT,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
nsau,XT,CLZ,0x0A2,reg_reg,0,primitive_ok,unknown,
loop,XT,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
entry,XT,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
retw,XT,RET,0x064,reg_reg,0,primitive_ok,unknown,
syscall,XT,ECALL,0x0D3,reg_reg,0,trap_emulate,unknown,
rsync,XT,FENCE,0x0D2,reg_reg,0,trap_emulate,unknown,
extui,XT,AND,0x003,reg_reg,0,primitive_ok,unknown,
extwi,XT,AND,0x003,reg_reg,0,primitive_ok,unknown,
ssai,XT,ASRI,0x026,reg_reg,0,primitive_ok,unknown,
