# Tomato32 ISA profile: Z80 — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
ld,Z80,MOV,0x00E,reg_reg,0,primitive_ok,unknown,
add,Z80,ADD,0x001,reg_reg,0,primitive_ok,unknown,
adc,Z80,ADC,0x008,reg_reg,0,primitive_ok,unknown,
sub,Z80,SUB,0x002,reg_reg,0,primitive_ok,unknown,
sbc,Z80,SBC,0x009,reg_reg,0,primitive_ok,unknown,
and,Z80,AND,0x003,reg_reg,0,primitive_ok,unknown,
or,Z80,OR,0x004,reg_reg,0,primitive_ok,unknown,
xor,Z80,XOR,0x005,reg_reg,0,primitive_ok,unknown,
cp,Z80,CMP,0x00F,reg_reg,0,primitive_ok,unknown,
inc,Z80,INC,0x00C,reg_reg,0,primitive_ok,unknown,
dec,Z80,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
jp,Z80,JMP,0x062,reg_reg,0,primitive_ok,unknown,
jr,Z80,JMP,0x062,reg_reg,0,primitive_ok,unknown,
call,Z80,CALL,0x072,reg_reg,0,primitive_ok,unknown,
ret,Z80,RET,0x064,reg_reg,0,primitive_ok,unknown,
push,Z80,PUSH,0x070,reg_reg,0,primitive_ok,unknown,
pop,Z80,POP,0x071,reg_reg,0,primitive_ok,unknown,
in,Z80,IN,0x0D0,reg_reg,0,primitive_ok,unknown,
out,Z80,OUT,0x0D1,reg_reg,0,primitive_ok,unknown,
nop,Z80,NOP,0x000,reg_reg,0,primitive_ok,unknown,
halt,Z80,HALT,0x3FF,reg_reg,0,primitive_ok,unknown,
di,Z80,CLI,0x0D7,reg_reg,0,trap_emulate,unknown,
ei,Z80,SEI,0x0D6,reg_reg,0,trap_emulate,unknown,
djnz,Z80,DEC,0x00D,reg_reg,0,primitive_ok,unknown,
rlca,Z80,ROL,,reg_reg,0,primitive_ok,n/a,
rrca,Z80,ROR,0x023,reg_reg,0,primitive_ok,unknown,
rla,Z80,ROL,,reg_reg,0,primitive_ok,n/a,
rra,Z80,ROR,0x023,reg_reg,0,primitive_ok,unknown,
cpl,Z80,NOT,0x006,reg_reg,0,primitive_ok,unknown,
neg,Z80,NEG,0x007,reg_reg,0,primitive_ok,unknown,
