# Tomato32 unique ops catalog — grow toward 512; not padded.,,,,,,
# seq_cycles = value programmed into microcode cycles[1:0] (see main.v program_counter):,,,,,,
#   1 = FETCH+EXECUTE;  2 = FETCH+EXECUTE+MEM_WAIT.,,,,,,
# That 2-bit sequencer is the only instruction-length control in main.v.,,,,,,
# mul_div is a separate priority-encoder+shift unit (mul-nxt_enc feedback); it is NOT,,,,,,
"# ""16 sequencer cycles"". Multi-step mul/div completion is outside that 2-bit counter.",,,,,,
# Count: 408; ROM headroom: 104.,,,,,,
idx,pass,source,mnemonic,group,seq_cycles,operation
1,1,rv32i,LUI,alu-imm,1,rd = imm20 << 12
2,1,rv32i,AUIPC,alu-imm,1,rd = PC + (imm20 << 12)
3,1,rv32i,JAL,jump,1,rd = PC+1; PC = target
4,1,rv32i,JALR,jump,1,rd = PC+1; PC = rB+off
5,1,rv32i,BEQ,branch,1,branch if equal
6,1,rv32i,BNE,branch,1,branch if not equal
7,1,rv32i,BLT,branch,1,branch if less (signed)
8,1,rv32i,BGE,branch,1,branch if greater/equal (signed)
9,1,rv32i,BLTU,branch,1,branch if less (unsigned)
10,1,rv32i,BGEU,branch,1,branch if greater/equal (unsigned)
11,1,rv32i,LB,mem,2,rd = sign-extend byte load
12,1,rv32i,LH,mem,2,rd = sign-extend half load
13,1,rv32i,LW,mem,2,rd = mem[rB+off]
14,1,rv32i,LBU,mem,2,rd = zero-extend byte load
15,1,rv32i,LHU,mem,2,rd = zero-extend half load
16,1,rv32i,SB,mem,2,store byte
17,1,rv32i,SH,mem,2,store half
18,1,rv32i,SW,mem,2,mem[rB+off] = rA
19,1,rv32i,ADDI,alu-imm,1,rd = rA + imm
20,1,rv32i,SLTI,alu-imm,1,rd = (rA < imm)
21,1,rv32i,SLTIU,alu-imm,1,rd = (rA <u imm)
22,1,rv32i,XORI,alu-imm,1,rd = rA ^ imm
23,1,rv32i,ORI,alu-imm,1,rd = rA | imm
24,1,rv32i,ANDI,alu-imm,1,rd = rA & imm
25,1,rv32i,LSLI,shift,1,rd = rA << shamt
26,1,rv32i,LSRI,shift,1,rd = rA >> shamt
27,1,rv32i,ASRI,shift,1,rd = rA >>> shamt
