# Tomato32 opcode reference — instruction word is 32-bit big-endian in EEPROM
# Layout: [31:24]=opcode  [23:16]=rA  [15:8]=rB/imm-high  [7:0]=rd (+ bit0=abs/rel for jumps/branches)
# PC target: IR[0]=0 absolute (use bits[23:0] as address)  IR[0]=1 PC-relative (PC + bits[23:0])
# ADDI imm12: immediate = byte2 >> 4  (e.g. byte2=0xA0 -> imm=10)  example word: 0x1000A001 = ADDI R1,R0,#10
# Branch taken when sc_branch COND=IR[2:0] selects a set flag (see branch_when column)
#
opcode,mnemonic,group,operation,syntax,writes_reg,updates_flags,branch_when,notes
0x00,NOP,system,No operation,NOP,no,no,,Advance PC only
0xFF,HALT,system,Halt CPU,HALT,no,no,,Stops sequence
0x01,ADD,alu-reg,Add registers,"ADD R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA + rB
0x02,SUB,alu-reg,Subtract registers,"SUB R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA - rB
0x03,AND,alu-reg,Bitwise AND,"AND R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA & rB
0x04,OR,alu-reg,Bitwise OR,"OR R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA | rB
0x05,XOR,alu-reg,Bitwise XOR,"XOR R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA ^ rB
0x06,NOT,alu-reg,Bitwise NOT,"NOT R{rd}, R{rA}",yes,yes,,rd = ~rA
0x07,NEG,alu-reg,Negate,"NEG R{rd}, R{rA}",yes,yes,,rd = -rA
0x08,ADC,alu-reg,Add with carry,"ADC R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA + rB + C
0x09,SBC,alu-reg,Subtract with borrow,"SBC R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA - rB - borrow
0x0A,ANDN,alu-reg,A AND NOT B,"ANDN R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA & ~rB (BIC)
0x0B,ORN,alu-reg,A OR NOT B,"ORN R{rd}, R{rA}, R{rB}",yes,yes,,rd = rA | ~rB
0x0C,INC,alu-reg,Increment,"INC R{rd}, R{rA}",yes,yes,,rd = rA + 1
0x0D,DEC,alu-reg,Decrement,"DEC R{rd}, R{rA}",yes,yes,,rd = rA - 1
0x0E,MOV,alu-reg,Move register,"MOV R{rd}, R{rB}",yes,no,,rd = rB (pass-through ALU)
0x0F,CMP,alu-reg,Compare (subtract flags only),"CMP R{rA}, R{rB}",no,yes,,Sets flags from rA - rB; no writeback
0x10,ADDI,alu-imm,Add immediate (12-bit signed),"ADDI R{rd}, R{rA}, #{imm12}",yes,yes,,imm = byte2>>4; rd = rA + imm
0x11,SUBI,alu-imm,Subtract immediate (12-bit signed),"SUBI R{rd}, R{rA}, #{imm12}",yes,yes,,imm = byte2>>4
0x12,ANDI,alu-imm,AND immediate (16-bit zero-ext),"ANDI R{rd}, R{rA}, #{imm16z}",yes,yes,,imm in low 16 bits
0x13,ORI,alu-imm,OR immediate (16-bit zero-ext),"ORI R{rd}, R{rA}, #{imm16z}",yes,yes,,imm in low 16 bits
0x14,XORI,alu-imm,XOR immediate (16-bit zero-ext),"XORI R{rd}, R{rA}, #{imm16z}",yes,yes,,imm in low 16 bits
0x15,ADDI16,alu-imm,Add immediate (16-bit signed),"ADDI R{rd}, R{rA}, #{imm16s}",yes,yes,,Alternate ADDI encoding
0x16,ADDI8,alu-imm,Add immediate (8-bit signed),"ADDI R{rd}, R{rA}, #{imm8s}",yes,yes,,Compact immediate
0x17,TST,alu-imm,Test bits (AND flags only),"TST R{rA}, #{imm}",no,yes,,Sets flags from rA & imm
0x18,CMPI,alu-imm,Compare immediate,"CMPI R{rA}, #{imm12s}",no,yes,,Sets flags from rA - imm
0x19,LUI,alu-imm,Load upper immediate,"LUI R{rd}, #{imm20}",yes,no,,rd = imm20 << 12
0x1A,AUIPC,alu-imm,Add upper immediate to PC,"AUIPC R{rd}, #{imm20}",yes,no,,rd = PC + (imm20 << 12)
0x1B,MOVT,alu-imm,Move to upper half,"MOVT R{rd}, #{imm16}",yes,no,,ARM MOVT-style upper 16
0x1C,MOVI8,alu-imm,Move small immediate,"MOVI R{rd}, #{imm8s}",yes,no,,Quick constant load
