pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
112.25,-120.19,180.0,top,C16,,,C_0603_1608Metric,100nF,smt
140.593724,-71.022833,0.0,top,C3,,,C_0603_1608Metric,100nF,smt
99.2,-118.89,90.0,top,C36,,,C_0603_1608Metric,100nF,smt
93.61,-118.07,90.0,top,C39,,,C_0603_1608Metric,100nF,smt
97.393724,-70.222833,0.0,top,C4,,,C_0603_1608Metric,100nF,smt
121.45,-119.27,90.0,top,C40,,,C_0603_1608Metric,100nF,smt
125.14,-63.29,180.0,top,C41,,,C_0603_1608Metric,100nF,smt
121.55,-103.7,0.0,top,C42,,,C_0603_1608Metric,100nF,smt
126.22,-90.56,180.0,top,C43,,,C_0603_1608Metric,100nF,smt
125.093724,-76.622833,180.0,top,C44,,,C_0603_1608Metric,100nF,smt
151.493724,-92.522833,0.0,top,C45,,,C_0603_1608Metric,100nF,smt
151.293724,-50.522833,0.0,top,C46,,,C_0603_1608Metric,100nF,smt
151.293724,-64.622833,0.0,top,C47,,,C_0603_1608Metric,100nF,smt
151.293724,-78.722833,0.0,top,C48,,,C_0603_1608Metric,100nF,smt
144.47,-111.48,90.0,top,C49,,,C_0603_1608Metric,100nF,smt
94.02,-129.84,-90.0,top,C50,,,C_0603_1608Metric,100nF,smt
81.959895,-62.454856,180.0,top,C51,,,C_0603_1608Metric,100nF,smt
78.45,-103.67,0.0,top,C52,,,C_0603_1608Metric,100nF,smt
81.973852,-90.543458,180.0,top,C53,,,C_0603_1608Metric,100nF,smt
81.959895,-76.554856,180.0,top,C54,,,C_0603_1608Metric,100nF,smt
108.359895,-92.454856,0.0,top,C55,,,C_0603_1608Metric,100nF,smt
108.159895,-50.454856,0.0,top,C56,,,C_0603_1608Metric,100nF,smt
108.159895,-64.554856,0.0,top,C57,,,C_0603_1608Metric,100nF,smt
108.159895,-78.654856,0.0,top,C58,,,C_0603_1608Metric,100nF,smt
132.33,-117.67,-90.0,top,C59,,,C_0603_1608Metric,100nF,smt
78.172857,-134.0625,90.0,top,D10,,,LED_0805_2012Metric,LED,smt
80.148571,-134.0625,90.0,top,D11,,,LED_0805_2012Metric,LED,smt
82.124286,-134.0625,90.0,top,D12,,,LED_0805_2012Metric,LED,smt
84.1,-134.0625,90.0,top,D13,,,LED_0805_2012Metric,LED,smt
86.075714,-134.0625,90.0,top,D14,,,LED_0805_2012Metric,LED,smt
