"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","UNIT OF MEASURE","CUSTOMER REFERENCE","AVAILABILITY","UNIT PRICE"
"1","34","296-12766-1-ND","CD74ACT151M96","IC MULTIPLEXER 1 X 8:1 16-SOIC","","","Immediate","0.47600"
"2","4","296-32996-5-ND","CD74ACT283M","IC BINARY FULL ADDER 4BIT 16SOIC","","","Immediate","1.79000"
"3","4","296-14690-1-ND","SN74ACT00DR","IC GATE NAND 4CH 2-INP 14SOIC","","","Immediate","0.57000"
"4","2","296-9757-1-ND","SN74ACT86DR","IC GATE XOR 4CH 2-INP 14SOIC","","","Immediate","0.54000"
"5","2","MC74ACT377DWR2GOSCT-ND","MC74ACT377DWR2G","IC FF D-TYPE 1-ELE 8-BIT 20-SOIC","","","Immediate","0.96000"
"6","2","296-14501-1-ND","CD74ACT541M96","IC BUFF 4.5V/5.5V 20-SOIC","","","Immediate","1.21000"
"7","2","296-24357-1-ND","CD74HCT688M96","IC ID COMPARATOR 8BIT 20-SOIC","","","Immediate","0.78000"
"8","54","311-1344-1-ND","CC0603KRX7R9BB104","CAP CER 0.1UF 50V X7R 0603","","","Immediate","0.03700"
"9","130","160-1415-1-ND","LTST-C170KRKT","LED RED CLEAR SMD","","","Immediate","0.08270"
"10","14","4610X-1-471LF-ND","4610X-101-471LF","RES ARRAY 9 RES 470 OHM 10SIP","","","Immediate","0.25600"

