# Tomato ISA v1 — SINGLE AUTHORITY (512 ROM rows).
# status=burn: solidified datapath-backed opcodes (add here as you need more)
# status=nop: unused ROM slot (empty — not a fake mnemonic)
# Pack ROM: python3 tools/gen_microcode_v1.py --pack-rom
# Optional growth fill (legacy): python3 tools/gen_microcode_v1.py --rebuild
#
# ENCODING:
#   R-type:  {op[8:0], rd[4:0], rA[4:0], rB[4:0], rC[4:0], bank[2:0]}
#   I-type:  {op, rd, rA, imm13}              — ADDI / LW (imm=IR[12:0])
#   Store:   {op, 0, rA_data, rB_base, imm8}  — SW/SB (ALU.A=rB via mem_sel)
#   Branch:  {op, 0, off[21:0]}               — PC-relative (pc_src=1)
#
# BURN surface: ALU/logic/imm/shift/mem/branch/jump/stack/IO/system
# (see burn_core_rows in tools/gen_microcode_v1.py — do not silently drop)
#
rom_addr,region,mnemonic,group,seq_cycles,status,operation,why,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,encoding,semantic_op,notes
0x00,system,NOP,system,1,burn,no operation,idle / padding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NOP,
0x01,alu-reg,ADD,alu-reg,1,burn,ADD,arith,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ADD,
0x02,alu-reg,SUB,alu-reg,1,burn,SUB,arith,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,SUB,
0x03,alu-reg,AND,alu-reg,1,burn,AND,logic,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,AND,
0x04,alu-reg,OR,alu-reg,1,burn,OR,logic,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,OR,
0x05,alu-reg,XOR,alu-reg,1,burn,XOR,logic,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XOR,
0x06,alu-reg,MOV,alu-reg,1,burn,MOV,copy,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,MOV,
0x07,alu-reg,CMP,alu-reg,1,burn,flags = rA - rB,branches,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,CMP,
0x08,alu-reg,MASKADD,alu-reg,1,burn,rd = rA + (rB & rC),compound three-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,MASKADD,
0x09,alu-reg,XORAND,alu-reg,1,burn,rd = (rA ^ rB ^ rC) + (rA & rB & rC),compound three-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XORAND,
0x0A,alu-reg,ANDN,alu-reg,1,burn,rd = rA & ~rB,masked two-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDN,
0x0B,alu-reg,ORN,alu-reg,1,burn,rd = rA | ~rB,masked two-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORN,
0x0C,alu-reg,CSEL,alu-reg,1,burn,rd = rC ? rA : rB,compound three-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,CSEL,
0x0D,alu-reg,ANDADD,alu-reg,1,burn,rd = (rA & rB) + rC,compound three-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDADD,
0x0E,alu-reg,ORADD,alu-reg,1,burn,rd = (rA | rB) + rC,compound three-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORADD,
0x0F,alu-reg,XORADD,alu-reg,1,burn,rd = (rA ^ rB) + rC,compound three-input ALU,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XORADD,
0x10,alu-reg,MUL,muldiv,1,burn,rd = low(rA*rB),,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,reg_reg,MUL,
0x11,alu-reg,MULH,muldiv,1,burn,rd = high(rA*rB),,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,reg_reg,MULH,
